SMILES,ERRORS
C=CCc1c(O)ccc2c1cc1Cn3c(c1n2)cc1c(c3=O)COC(=O)[C@]1(O)CC,SUCCESS
C=CCc1c(ccc2c1cc1Cn3c(c1n2)cc1c(c3=O)COC(=O)[C@]1(O)CC)OC(=O)N1CCC(CC1)N1CCCCC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4cc(F)c(c5c4c(c3Cn1c2=O)[C@H](CC5)NC(=O)COCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCCCCN1C(=O)CCC1=O)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)C,SUCCESS
CCC1(O)C(=O)OCc2c1cc1c3nc4cc5OCOc5c(c4cc3Cn1c2=O)Cl,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4cnccc4cc3Cn1c2=O,SUCCESS
CC[C@@]1(OCc2nnn(c2)CCOCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]2SC[C@H]3[C@@H]2NC(=O)N3)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CC,SUCCESS
CC[C@@]1(OC(=O)CCCCCNC(=O)CCCC[C@@H]2SC[C@H]3[C@@H]2NC(=O)N3)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)c1cnn(c1)C,SUCCESS
CC[C@@]1(O)CC(=O)OCc2c1cc1c3nc4cc(F)c(cc4cc3Cn1c2=O)F,SUCCESS
CCOC(=O)c1cc(cn1COC)NC(=O)c1cc(cn1COC)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)/C=N/N=C(N)N,SUCCESS
CSCC[C@@H](C(=O)O[C@]1(CC)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O)NC(=O)C1=CC(N(C1(C)C)O)(C)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)OC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4cc3Cn1c2=O)OC(=O)CCCCCNC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)Cl,SUCCESS
OCCCO/N=C\c1c2ccccc2nc2c1Cn1c2cc2c(c1=O)COC(=O)[C@]2(O)CC,SUCCESS
CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)C(=O)NC1CC(C)(C)N(C(C1)(C)C)[O],SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OCCC[n+]1ccccc1.[Br-],SUCCESS
COCn1cc(cc1C(=O)Nc1cn(c(c1)C(=O)NCCCN(C)C)COC)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)/C=N/c1ccccc1C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)[C@@H](c2c1nc1ccccc1c2)N(C(=O)OCc1ccccc1)NC(=O)OCc1ccccc1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)CNC(=O)C)O,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1CCCCC1.O.O.O.Cl,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4cc5OCCOc5cc4c(c3Cn1c2=O)CN1CCN(CC1)C.Cl.Cl,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)OC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc2c(c1)cccc2,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OCCCOc1ncnc(c1)C(F)(F)F,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1cccs1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccccc1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)COC(C)(C)C)O,SUCCESS
CC[C@@]1(OC(=O)C)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)COC(=O)C)OC(=O)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)F,SUCCESS
OCCCC1c2cc3ccccc3nc2c2n1c(=O)c1c(c2)[C@@](O)(CC)C(=O)OC1,SUCCESS
COCn1cc(cc1C(=O)NCCCN(C)C)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1,SUCCESS
